,velE,velN,velU
0,8.756696960120749,11.99233240010065,0.1984222027189
1,8.701901972390221,11.951801260519472,0.21344773632383
2,8.646445872281188,11.904907946978637,0.17937256318656
3,8.607044778051357,11.866606913986768,0.14989117963375
4,8.558800893864444,11.837474064424192,0.15109373246968
5,8.515430878160801,11.812442838776288,0.15263372724619
6,8.459347151471565,11.791650965641006,0.14969430003281
7,8.399390713689776,11.776694504430274,0.14469472826303
8,8.363119897765312,11.754541849330028,0.15072073426317
9,8.332169767682803,11.730396206708564,0.14714500655752
10,8.298007048292396,11.707128288141279,0.13838890886693
11,8.285051321707556,11.670843385314495,0.13845344940812
12,8.264381742267632,11.638481893725338,0.13200026386925
13,8.228216438420963,11.605534126312605,0.12582813248588
14,8.192148866785693,11.573052527955223,0.11319151902696
15,8.155078176450646,11.528232878093226,0.1090167522647
16,8.12685503157633,11.479566197732739,0.1119549440675
17,8.09928992394769,11.42606348810367,0.11180837676058
18,8.05412950293408,11.368723398904534,0.090966205362442
19,8.015455189399399,11.318570755900415,0.087755183586981
20,7.978185504425004,11.267961306075048,0.12109648789471
21,7.931981517588024,11.199729877609066,0.1460224434575
22,7.870125704217199,11.122090555900433,0.12720660263714
23,7.80166335325966,11.011413744233996,0.094831332526838
24,7.7428858816346295,10.899980596900075,0.095277498324378
25,7.679163050346842,10.77978318828541,0.11569929158767
26,7.601112292521929,10.639311336477032,0.13498417695599
27,7.528748249178916,10.504611655374793,0.1569036860138
28,7.4526976858110645,10.357393072239734,0.16751008867014
29,7.355998956749159,10.190387427943529,0.14384333409426
30,7.278955784881958,10.02868411950787,0.12442528463082
31,7.205875607415363,9.840370829509085,0.1100422210584
32,7.142897640191764,9.682920248516382,0.1003885281288
33,7.089187382061603,9.530288581995167,0.10963808999783
34,7.068070325191371,9.421324086270802,0.13253681018516
35,7.065513678383466,9.298703960325087,0.1282628652307
36,7.081910425063141,9.16796891052116,0.11130559807595
37,7.099050689120935,9.020775931871393,0.11687778565747
38,7.110418806872973,8.874991622412557,0.1302113596444
39,7.138989281074042,8.679803537192493,0.12385425497495
40,7.185268041768374,8.473408550427017,0.11290668912306
41,7.237326843734445,8.265834845136185,0.11182088115682
42,7.305650681614092,8.044762104629244,0.11514569367985
43,7.3686368996710225,7.845380845656942,0.11500637059722
44,7.441262108486741,7.6313051651196915,0.096642464248618
45,7.528419517987013,7.381659427252061,0.086558976390817
46,7.59465296572978,7.161868152152122,0.097159434787521
47,7.665678370212439,6.912807763300254,0.12752368029192
48,7.727254219267364,6.669892475193912,0.13499157785278
49,7.780022370603877,6.419167932262636,0.11301919196156
50,7.845950999379444,6.1344659516825155,0.099449788067576
51,7.923330992082663,5.8614929747961355,0.1088937075863
52,8.01623938762149,5.5417344353622005,0.13513706854774
53,8.085472485510513,5.266696701499706,0.12429346726779
54,8.155037033265867,4.9818003082652025,0.10092155704497
55,8.236163651327619,4.650132002339418,0.052719767182153
56,8.303600774875667,4.3728517829878735,0.052510854056892
57,8.376989461782845,4.107619168392827,0.10415175923564
58,8.493070893765667,3.7758103223078083,0.16392772103789
59,8.594010922414153,3.434119437718884,0.18826100272534
60,8.672439926818907,3.05457530542983,0.17279518320488
61,8.709852194932402,2.705220991268983,0.055968587475248
62,8.74554789829111,2.3786363169085707,0.041858090064946
63,8.775740052640383,2.065211828940771,0.11825901104466
64,8.791907407498174,1.7757911012306493,0.21306956933716
65,8.786800756550619,1.4564953174401176,0.22983509233681
66,8.767344506109353,1.111078338964676,0.17019066104487
67,8.761459611374708,0.8034240710610159,0.15612040159731
68,8.79066466578105,0.4649301428044302,0.2003360266106
69,8.820979476841542,0.16948112779354393,0.22878691615485
70,8.839286976716808,-0.13455605258351272,0.19552356917861
71,8.85884335826526,-0.49543947552860623,0.20324818383351
72,8.876260753755878,-0.8109997288974133,0.25652135639132
73,8.888949864791062,-1.1439831427304785,0.35386428353088
74,8.874478297827869,-1.5016210779370909,0.46918663529193
75,8.84361339987687,-1.8312103342209936,0.48814252255579
76,8.796316691027858,-2.2042055888178957,0.45062704847468
77,8.75320341344711,-2.552890097923571,0.41311186732203
78,8.695665838435183,-2.8945932652196675,0.40911955858019
79,8.625653676894135,-3.239588192703552,0.43700025160421
80,8.541021378546143,-3.547383753224814,0.43865918456255
81,8.45244381423096,-3.8430291916784,0.4461944497144
82,8.34737682623882,-4.161575431847863,0.43117522825312
83,8.240925744654616,-4.42169261615005,0.4682064658572
84,8.101574016134334,-4.725208711146791,0.43438285971318
85,7.964083848751966,-5.008880327215722,0.4334307535377
86,7.864425985281402,-5.214664689636963,0.48870157793271
87,7.766473414535103,-5.439966137399367,0.54363193273213
88,7.672873031247984,-5.629782022841145,0.58316694205058
89,7.59498673511745,-5.774417065500393,0.57215869320221
90,7.518113939844596,-5.905476000181622,0.50688500583911
91,7.462590013394336,-6.012235015261382,0.49249603945716
92,7.4221232994188355,-6.102515394761646,0.53643120286801
