,posErrX,posErrY,posErrZ,velErrX,velErrY,velErrZ,orientErrR,orientErrP,orientErrY,accBiasX,accBiasY,accBiasZ,gyrBiasX,gyrBiasY,gyrBiasZ
1446,0.004889638628600036,0.03168034841700591,0.003243374942082081,0.009553115019901033,0.05020311021600198,0.004597262543358206,9.428548445404836e-06,0.00045081044884983767,0.01283119260634818,0.009222648534421165,-0.04413559630582328,0.016141048152993054,8.206787685651028e-05,-3.1235344585349175e-05,-0.0012630834449865616
1447,0.005473745275410346,-0.01512521678739021,0.002249926954843544,0.01148055412387434,-0.023631287990104933,0.004149636972069472,0.00012274849757075182,-7.608810688474715e-05,-0.006910511712890404,0.008723147825407576,-0.04572653473767266,0.016468097996052485,7.896005123126176e-05,-3.5959869597888136e-05,-0.0022135405842332655
1448,0.006312797034473455,0.03513000461526423,0.004179517606048328,0.011681307924552266,0.057333748934283446,0.005701239001248895,5.7092492651991394e-05,0.00047703711063978193,0.015621928492339064,0.011695925596936692,-0.04592888835892742,0.017581321723697946,8.807147626401879e-05,-2.9442304550231917e-05,7.136124069033857e-05
1449,0.006428112866534312,-0.019276881764202603,-0.005146039488918535,0.013063042481600267,-0.03072941756173848,-0.003841477475804451,0.00014667521001222186,-4.436964855723521e-05,-0.009004437924823415,0.011453357464827755,-0.04765732148305743,0.016456475298323486,8.600389066275814e-05,-3.590113943703229e-05,-0.0012458096453923301
1450,0.004597371704916244,-0.035335657167414276,-0.008734295389589168,0.011287254314759812,-0.05751638801668586,-0.007703732367451199,0.00012729531865900628,-0.00020374515628434324,-0.01684252822509778,0.01028971463905723,-0.049471787526069705,0.014520069123861449,8.069698523746721e-05,-4.5005853723195836e-05,-0.0036085495275776985
1451,0.007648609063737582,0.02830803328563746,0.003245014539752344,0.014003740465262749,0.04693880123657274,0.004566607495600193,0.00012125534458598514,0.0003869961928652183,0.01306546587168273,0.012656519611091533,-0.05003877062668005,0.015379509561493337,8.741718082907572e-05,-4.032923219128222e-05,-0.0016412684770839997
1452,0.004132831755436477,-0.021186839088015223,0.004103733197413989,0.01054395985400277,-0.03437115635226971,0.006153342944113084,9.401562020977368e-05,-0.0001283935756796625,-0.010182575471786005,0.012036089159773047,-0.05174027870855282,0.01604239318864665,8.34864409015283e-05,-4.5126321582958574e-05,-0.003032626558598155
1453,0.0019332800668615758,-0.03533163905842713,0.006191157491449144,0.008317382229006734,-0.05796894302390465,0.0086828793158907,6.987908677842785e-05,-0.00029174971697431136,-0.016884849728175437,0.010423291016616786,-0.0537208836344863,0.01700293884998686,7.625430405629764e-05,-5.218195754634002e-05,-0.00530391955857717
1454,0.013078575923967961,0.028283515005863697,0.0009618426453938512,0.021123178492420323,0.04653199584181374,0.002207277693969165,0.00021189950121010064,0.00046531574998063836,0.012617550019523175,0.013587053774938879,-0.05490751122122188,0.017451641907507608,8.569321567572048e-05,-4.843129986119307e-05,-0.0033451879540786007
1455,0.005250546426572406,-0.017573571626820703,-0.0032116082538073613,0.012642938827995245,-0.029237204335804123,-0.0017728366122561204,0.0001251590802514032,-1.6722087839721743e-05,-0.008730847168365466,0.013724630831825535,-0.05654465653821617,0.016741477530183967,8.469174794554112e-05,-5.301485050921523e-05,-0.004466484434804034
